"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"1",1,0,0,0,30,30,"(0.8,1]"
"2",1,0,0,0,30,30,"(0.8,1]"
"3",1,0,0,0,30,30,"(0.8,1]"
"4",1,0,0,0,30,30,"(0.8,1]"
"5",1,0,0,0,30,30,"(0.8,1]"
"6",1,0,0,0,30,30,"(0.8,1]"
"7",1,0,0,0,30,30,"(0.8,1]"
"8",1,0,0,0,30,30,"(0.8,1]"
"9",1,0,0,0,30,30,"(0.8,1]"
"10",1,0,0,0,30,30,"(0.8,1]"
"11",1,0,0,0,30,30,"(0.8,1]"
"12",1,0,0,0,30,30,"(0.8,1]"
"13",1,0,0,0,30,30,"(0.8,1]"
"14",1,0,0,0,30,30,"(0.8,1]"
"15",1,0,0,0,30,30,"(0.8,1]"
"16",1,0,0,0,30,30,"(0.8,1]"
"17",1,0,0,0,30,30,"(0.8,1]"
"18",1,0,0,0,30,30,"(0.8,1]"
"19",1,0,0,0,30,30,"(0.8,1]"
"20",1,0,0,0,30,30,"(0.8,1]"
"21",1,0,0,0,30,30,"(0.8,1]"
"22",1,0,0,0,30,30,"(0.8,1]"
"23",1,0,0,0,30,30,"(0.8,1]"
"24",1,0,0,0,30,30,"(0.8,1]"
"25",1,0,0,0,30,30,"(0.8,1]"
"26",1,0,0,0,30,30,"(0.8,1]"
"27",1,0,0,0,30,30,"(0.8,1]"
"28",1,0,0,0,30,30,"(0.8,1]"
"29",1,0,0,0,30,30,"(0.8,1]"
"30",1,0,0,0,30,30,"(0.8,1]"
"31",1,0,0,0,30,30,"(0.8,1]"
"32",1,0,0,0,30,30,"(0.8,1]"
"33",1,0,0,0,30,30,"(0.8,1]"
"34",1,0,0,0,30,30,"(0.8,1]"
"35",1,0,0,0,30,30,"(0.8,1]"
"36",1,0,0,0,30,30,"(0.8,1]"
"37",1,0,0,0,30,30,"(0.8,1]"
"38",1,0,0,0,30,30,"(0.8,1]"
"39",1,0,0,0,30,30,"(0.8,1]"
"40",1,0,0,0,30,30,"(0.8,1]"
