"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"1",0.807228915662651,0.478571428571429,0.600896860986547,83,1,1,0.01,0.003
"2",0.919354838709677,0.407142857142857,0.564356435643564,62,1,1,0.01,0.003
"3",0.74561403508772,0.607142857142857,0.669291338582677,114,1,1,0.01,0.003
"4",0.894736842105263,0.485714285714286,0.62962962962963,76,1,1,0.01,0.003
"5",0.9375,0.107142857142857,0.192307692307692,16,1,1,0.01,0.003
"6",0.876712328767123,0.457142857142857,0.60093896713615,73,1,1,0.01,0.003
"7",0.902439024390244,0.528571428571429,0.666666666666667,82,1,1,0.01,0.003
"8",0.933333333333333,0.1,0.180645161290323,15,1,1,0.01,0.003
"9",0.77,0.55,0.641666666666667,100,1,1,0.01,0.003
"10",0.671428571428571,0.671428571428571,0.671428571428571,140,1,1,0.01,0.003
"11",0.704,0.628571428571429,0.664150943396226,125,1,1,0.01,0.003
"12",0.903846153846154,0.335714285714286,0.489583333333333,52,1,1,0.01,0.003
"13",0.789473684210526,0.107142857142857,0.188679245283019,19,1,1,0.01,0.003
"14",1,0.2,0.333333333333333,28,1,1,0.01,0.003
"15",0.636871508379888,0.814285714285714,0.714733542319749,179,1,1,0.01,0.003
"16",0.632768361581921,0.8,0.706624605678233,177,1,1,0.01,0.003
"17",0.93103448275862,0.192857142857143,0.319526627218935,29,1,1,0.01,0.003
"18",0,0,0,1,1,1,0.01,0.003
"19",1,0.114285714285714,0.205128205128205,16,1,1,0.01,0.003
"20",0.755555555555556,0.728571428571429,0.741818181818182,135,1,1,0.01,0.003
"21",1,0.321428571428571,0.486486486486487,45,1,1,0.01,0.003
"22",0.670807453416149,0.771428571428571,0.717607973421927,161,1,1,0.01,0.003
"23",0.680981595092024,0.792857142857143,0.732673267326733,163,1,1,0.01,0.003
"24",1,0.185714285714286,0.313253012048193,26,1,1,0.01,0.003
"25",0.8,0.0285714285714286,0.0551724137931034,5,1,1,0.01,0.003
"26",1,0.0285714285714286,0.0555555555555556,4,1,1,0.01,0.003
"27",0.792079207920792,0.571428571428571,0.663900414937759,101,1,1,0.01,0.003
"28",1,0.121428571428571,0.21656050955414,17,1,1,0.01,0.003
"29",0.728,0.65,0.686792452830189,125,1,1,0.01,0.003
"30",1,0.0714285714285714,0.133333333333333,10,1,1,0.01,0.003
"31",0.982456140350877,0.4,0.568527918781726,57,1,1,0.01,0.003
"32",0.846153846153846,0.628571428571429,0.721311475409836,104,1,1,0.01,0.003
"33",0.5,0.0285714285714286,0.0540540540540541,8,1,1,0.01,0.003
"34",0.694444444444444,0.714285714285714,0.704225352112676,144,1,1,0.01,0.003
"35",0.87378640776699,0.642857142857143,0.740740740740741,103,1,1,0.01,0.003
"36",0.93103448275862,0.192857142857143,0.319526627218935,29,1,1,0.01,0.003
"37",0.592039800995025,0.85,0.697947214076246,201,1,1,0.01,0.003
"38",0.75,0.0214285714285714,0.0416666666666667,4,1,1,0.01,0.003
"39",1,0.114285714285714,0.205128205128205,16,1,1,0.01,0.003
"40",1,0.0285714285714286,0.0555555555555556,4,1,1,0.01,0.003
"41",0.85,0.364285714285714,0.51,60,1,1,0.01,0.003
"42",0.883116883116883,0.485714285714286,0.626728110599078,77,1,1,0.01,0.003
"43",0.810344827586207,0.671428571428571,0.734375,116,1,1,0.01,0.003
"44",0.842105263157895,0.571428571428571,0.680851063829787,95,1,1,0.01,0.003
